game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video 
3,46,00:30:48:27,00:31:05:00,00:00:16:03,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,,1,2,5,0,prume,band,11:45:29
3,47,00:31:21:20,00:31:26:18,00:00:04:28,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,48,00:32:25:27,00:32:27:12,00:00:01:15,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,49,00:32:36:11,00:32:39:15,00:00:03:04,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,50,00:32:48:19,00:33:02:18,00:00:13:29,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,,5,0,prume,band,11:45:29
3,51,00:33:22:15,00:33:32:04,00:00:09:19,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,52,00:33:39:08,00:33:43:01,00:00:03:23,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,53,00:33:58:19,00:34:10:12,00:00:11:23,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,2,5,0,prume,band,11:45:29
3,54,00:34:22:17,00:34:30:05,00:00:07:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,55,00:34:48:20,00:34:52:25,00:00:04:05,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,56,00:35:14:28,00:35:25:09,00:00:10:11,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,57,00:35:39:17,00:35:50:18,00:00:11:01,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,2,5,0,prume,band,11:45:29
3,58,00:36:13:24,00:36:39:21,00:00:25:27,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,59,00:38:16:27,00:38:23:20,00:00:06:23,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,60,00:38:31:28,00:38:38:13,00:00:06:15,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,61,00:38:45:12,00:38:55:00,00:00:09:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,3,5,0,prume,band,11:45:29
3,62,00:39:11:09,00:39:16:16,00:00:05:07,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,1,,,2,5,0,prume,band,11:45:29
3,63,00:39:25:04,00:39:29:23,00:00:04:19,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,64,00:39:46:07,00:40:01:24,00:00:15:17,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,3,5,0,prume,band,11:45:29
3,65,00:40:09:08,00:40:21:14,00:00:12:06,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,66,00:40:33:05,00:40:40:14,00:00:07:09,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,,,1,,,5,0,prume,band,11:45:29
3,67,00:40:54:10,00:41:00:18,00:00:06:08,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
3,68,00:41:10:29,00:41:18:17,00:00:07:18,Luna,00:00:06:27,00:00:07:02,0:01:28,11:46:57,1,,,,4,5,0,prume,band,11:45:29
