game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
6,1,00:06:54:18,00:07:03:09,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,2,5,0,prume,band,11:55:22
6,2,00:07:32:00,00:07:37:18,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,3,00:07:49:07,00:07:51:26,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,3,5,0,prume,band,11:55:22
6,4,00:09:02:21,00:09:04:15,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,5,00:09:10:23,00:09:12:22,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,,5,0,prume,band,11:55:22
6,6,00:09:20:14,00:09:31:28,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,7,00:09:43:09,00:09:44:22,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,1,,,,5,0,prume,band,11:55:22
6,8,00:09:57:13,00:10:08:06,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,9,00:10:45:27,00:10:50:11,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,10,00:11:02:11,00:11:06:09,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,,5,0,prume,band,11:55:22
6,11,00:11:12:14,00:11:21:21,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,12,00:11:26:19,00:11:27:13,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,13,00:12:09:14,00:12:12:19,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,,5,0,prume,band,11:55:22
6,14,00:12:22:02,00:12:35:12,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,1,,,2,5,0,prume,band,11:55:22
6,15,00:12:44:17,00:12:45:05,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,,1,3,5,0,prume,band,11:55:22
6,16,00:12:52:18,00:12:53:10,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,17,00:13:04:13,00:13:08:02,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,18,00:13:17:09,00:13:31:07,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,19,00:13:38:09,00:13:39:01,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,,5,0,prume,band,11:55:22
6,20,00:13:44:25,00:13:50:12,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,21,00:14:00:11,00:14:01:06,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,22,00:14:05:06,00:14:18:12,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,,5,0,prume,band,11:55:22
6,23,00:14:43:16,00:14:47:22,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,1,,,2,5,0,prume,band,11:55:22
6,24,00:14:58:01,00:15:00:21,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,2,5,0,prume,band,11:55:22
6,25,00:15:16:07,00:15:18:29,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,,5,0,prume,band,11:55:22
6,26,00:17:32:13,00:17:39:10,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,3,5,0,prume,band,11:55:22
6,27,00:17:46:08,00:17:50:21,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,,5,0,prume,band,11:55:22
6,28,00:17:57:04,00:18:01:03,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,,1,,3,5,0,prume,band,11:55:22
6,29,00:18:08:29,00:18:16:07,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,1,,,,4,5,0,prume,band,11:55:22
6,30,00:19:20:28,00:19:22:14,,Luna,00:00:10:29,00:00:11:12,00:00:45:10,11:57:43,,1,,,3,5,0,prume,band,11:55:22
