game,round,start round,hit,duration round,participant,accelarator press,accelarator first signal,start heartrate in video,start heartrate in actual time,"hit, correct","hit, incorrect","other hit, correct","other hit, incorrect",confidence score,experience score,games played prior on current day,favorite fruit,accelarator device,start video
2,1,00:04:14:16,00:04:16:23,00:00:02:07,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,2,5,1,prume,elastics,14:04:51
2,2,00:04:47:05,00:04:56:03,00:00:08:28,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,2,5,1,prume,elastics,14:04:51
2,3,00:05:22:04,00:05:24:05,00:00:02:01,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,3,5,1,prume,elastics,14:04:51
2,4,00:05:58:29,00:06:13:05,00:00:14:06,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,3,5,1,prume,elastics,14:04:51
2,5,00:06:58:00,00:07:06:14,00:00:08:14,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,,1,3,5,1,prume,elastics,14:04:51
2,6,00:07:51:24,00:08:10:11,00:00:18:17,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,3,5,1,prume,elastics,14:04:51
2,7,00:08:43:16,00:08:46:18,00:00:03:02,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,,1,4,5,1,prume,elastics,14:04:51
2,8,00:09:24:24,00:09:27:08,00:00:02:14,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,4,5,1,prume,elastics,14:04:51
2,9,00:09:56:03,00:10:13:17,00:00:17:14,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,1,,,4,5,1,prume,elastics,14:04:51
2,10,00:10:42:14,00:10:43:03,00:00:00:19,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,3,5,1,prume,elastics,14:04:51
2,11,00:11:17:11,00:11:36:04,00:00:18:23,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,3,5,1,prume,elastics,14:04:51
2,12,00:13:32:00,00:13:45:25,00:00:13:25,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,4,5,1,prume,elastics,14:04:51
2,13,00:14:22:01,00:14:31:03,00:00:09:02,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,4,5,1,prume,elastics,14:04:51
2,14,00:15:03:28,00:15:06:18,00:00:02:20,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,3,5,1,prume,elastics,14:04:51
2,15,00:15:36:28,00:15:47:10,00:00:10:12,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,,,1,,3,5,1,prume,elastics,14:04:51
2,16,00:16:26:24,00:16:43:29,00:00:17:05,Luna,00:00:07:12,00:00:07:18,0:00:30,14:05:21,1,,,,3,5,1,prume,elastics,14:04:51
